price,name,brand,seller_name,seller_rating,url,rating,screen_size,resolution,panel_type,android
600000,"tcl 65"" andriod ultra hd 4k hdr tv",TCL,Worldmartin,100,https://www.jumia.com.ng/tcl-65-andriod-ultra-hd-4k-hdr-tv-with-google-tv-225599399.html,0.0,65,uhd,,yes
382500,"hisense 65"" uhd 4k smart led tv",Hisense,Kendo,80,https://www.jumia.com.ng/hisense-65-uhd-4k-smart-led-tv-wifi-and-wall-bracket-77349032.html,0.0,65,uhd,led,no
1300000,samsung q8c 65 inch class curved premium qled smart 4k tv,Samsung,Bryan's store,100,https://www.jumia.com.ng/samsung-q8c-65-inch-class-curved-premium-qled-smart-4k-tv-43231806.html,0.0,65,uhd,qled,no
126990,"vision 43"" inch smart full hd led tv",Vision,vision gas,86,https://www.jumia.com.ng/43-inch-smart-full-hd-led-tvdual-screen-free-wall-hanger-amaz-mpg1646436.html,0.0,43,fhd,led,no
268400,hisense 55''smart uhd 4k tv,Hisense,ELECTROPLUG,66,https://www.jumia.com.ng/hisense-55smart-uhd-4k-tvnetflixyoutubedstv-70504629.html,0.0,55,uhd,,no
370000,samsung 43 inch ultra slim certified smart uhd 4k tv,Samsung,Bryan's store,100,https://www.jumia.com.ng/samsung-43-inch-ultra-slim-certified-smart-uhd-4k-tv-86931927.html,0.0,43,uhd,led,no
340000,hisense 55''qled smart 4k tv,Hisense,JennyLink Store,30,https://www.jumia.com.ng/hisense-55qled-smart-4k-tvnetflixyoutube-app-55a7gq-163521357.html,0.0,55,uhd,qled,no
520000,samsung 55inch uhd certified ultra slim crystal class smart hdr 4k tv,Samsung,sammesmart concept,0,https://www.jumia.com.ng/samsung-55inch-uhd-certified-ultra-slim-crystal-class-smart-hdr-4k-tv-98349585.html,0.0,55,uhd,led,no
326000,hisense 55”android uhd 4k smart tv,Hisense,Franco global electronics Ltd.,100,https://www.jumia.com.ng/hisense-55android-uhd-4k-smart-tv-jblspeakernetflixyoutube-app-76157695.html,5.0,55,uhd,,yes
820000,samsung 55 inch uhd class q60b qled 4k smart ultra slim hdr+ tv,Samsung,sammesmart concept,0,https://www.jumia.com.ng/samsung-55-inch-uhd-class-q60b-qled-4k-smart-ultra-slim-hdr-tv-2022-203207159.html,0.0,55,uhd,qled,no
398900,lg 55''inches smart ai uhd 4k satellite tv,LG,Donhenries,66,https://www.jumia.com.ng/lg-55inches-smart-ai-uhd-4k-satellite-tvnetflixyoutubeapple-airplay-2-years-warranty-100235499.html,0.0,55,uhd,,no
1785000,lg 55''inches 4k uhd oled smart ai thinq built in satellite tv,LG,Donhenries,66,https://www.jumia.com.ng/lg-55inches-4k-uhd-oled-smart-ai-thinq-built-in-satellite-tv-magic-remote-107259289.html,0.0,55,uhd,oled,no
850000,tcl 75″ 4k smart uhd hdr certified android tv,TCL,Luchi's Store,94,https://www.jumia.com.ng/tcl-75-4k-smart-uhd-hdr-certified-android-tv-75p728-210163974.html,0.0,75,uhd,,yes
520000,samsung 55 inch ultra high definition class hdr smart led uhd 4k tv,Samsung,sammesmart concept,0,https://www.jumia.com.ng/samsung-55-inch-ultra-high-definition-class-hdr-smart-led-uhd-4k-tv-98349650.html,0.0,55,uhd,led,no
1474000,lg 65'' 4k uhd oled smart ai thinq built in satellite tv,LG,Kendo,80,https://www.jumia.com.ng/lg-65-4k-uhd-oled-smart-ai-thinq-built-in-satellite-tv-78022172.html,0.0,65,uhd,oled,no
126399,amani 43” smart frameless amani 4k smart tv,Amani,EnergyEmpire,66,https://www.jumia.com.ng/amani-43-smart-frameless-amani-4k-smart-tvnetflixyoutube-appat-promo-price-120966577.html,0.0,43,uhd,,no
215190,vision 55-inch 4k android tv,Vision,rock view cylinder,80,https://www.jumia.com.ng/vision-55-inch-4k-android-tv-promo-price-95795184.html,1.0,55,uhd,,yes
290000,"amani 65"" inches smart full hd led tv",Amani,ELO GLOBAL,60,https://www.jumia.com.ng/amani-65-inches-smart-full-hd-led-tv-with-1-year-warranty-216618465.html,0.0,65,fhd,led,no
120399,"infinity 40"" inches smart full hd led tv",Infinity,Super Saver Mall,94,https://www.jumia.com.ng/infinity-40-inches-smart-full-hd-led-tv-free-wall-hanger-128440903.html,5.0,40,fhd,led,no
219000,"royal strong royal 50"" full hd smart tv",Royal,silvereaglegeneralconcernltd,100,https://www.jumia.com.ng/royal-strong-royal-50-full-hd-smart-tv-usb-port-black-186475821.html,0.0,50,fhd,,no
